Sample_ID	Picogreen	Negative	Exp_ID	Replicate	Treatment	CopyNum	CopyNum_norm	HH	Tot	HH_norm
173	1.043383642	FALSE	17.262	9	MD	532003	373436	4988	93	53.6344086
174	1.333452953	FALSE	17.72	9	MD	692800	647342	4391	93	47.21505376
175	1.814015543	FALSE	17.135	9	MD	593126	391923	4528	93	48.68817204
176	0.671055869	FALSE	17.220	9	MD	269311	991616	6063	93	65.19354839
177	0.748984938	FALSE	17.117	9	MD	536443	712428	5711	93	61.40860215
178	0.718679189	FALSE	17.192	9	MD	986033	1524042	7700	93	82.79569892
179	78.0892562	FALSE	18.30	9	CL	310413914	581308384	3527	74	47.66216216
180	39.07276915	FALSE	18.299	9	CL	564282169	874001685	6166	74	83.32432432
181	140.3242763	FALSE	18.173	9	CL	392796629	427082137	4626	74	62.51351351
182	35.62657256	FALSE	18.85	9	CL	371812616	1106806647	5701	74	77.04054054
183	105.0743609	FALSE	18.148	9	CL	381936045	844253273	3337	74	45.09459459
184	118.8937824	FALSE	18.262	9	CL	548488519	315377784	5071	74	68.52702703
185	48.72731488	FALSE	18.347	9	CL	1050830413	830224105	8043	74	108.6891892
186	128.3838112	FALSE	18.98	9	CL	2047879454	699497546	7124	74	96.27027027
187	110.3865258	FALSE	18.43	9	CL	1077920879	930100339	4649	74	62.82432432
188	132.8387563	FALSE	18.64	9	CL	475781311	451051726	8253	74	111.527027
189	0.316045667	TRUE	blank9	9	blank	NA	NA	NA	NA	NA
MOCK	83.4273974	FALSE	MOCK	NA	mock	NA	NA	NA	NA	NA
H2O_1	0.567150444	TRUE	H2O_1	NA	H2O	NA	NA	NA	NA	NA
H2O_3	0.043293927	TRUE	H2O_3	NA	H2O	NA	NA	NA	NA	NA
CLH_inoc	24.64723266	FALSE	CLH_inoculum	NA	inoculum	NA	NA	NA	NA	NA
H2O_2	0.350680809	TRUE	H2O_2	NA	H2O	NA	NA	NA	NA	NA
